13:24:57.751391 config: drop-rate=0.00, max-delay=0s, seed=1
17:43:48.210992 [queue=6] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 2.6ms
17:43:48.211987 [queue=5] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.211987 [queue=6] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=11 is delayed for 8.1ms
17:43:48.212987 [queue=7] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 6.6ms
17:43:48.214988 [queue=5] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.214988 [queue=5] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.223988 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 9.3ms
17:43:48.223988 [queue=2] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=11 is delivered
17:43:48.224983 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.224983 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.224983 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.230977 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 1.9ms
17:43:48.230977 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.235976 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 5.2ms
17:43:48.237975 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is dropped
17:43:48.238976 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.239972 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 1ms
17:43:48.241978 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.243977 [queue=1] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.247967 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 4.9ms
17:43:48.252968 [queue=1] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.252968 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 1.8ms
17:43:48.254967 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 300µs
